max_learning_rate: 0.0007
step      0 | time     0.94s | train loss 9.2396 | val loss 9.2381
step    100 | time    14.54s | train loss 4.0960 | val loss 4.0992
step    200 | time    28.24s | train loss 3.2376 | val loss 3.2185
step    300 | time    41.25s | train loss 2.8358 | val loss 2.8334
step    400 | time    54.51s | train loss 2.6273 | val loss 2.6544
step    500 | time    67.93s | train loss 2.5460 | val loss 2.5242
step    600 | time    81.13s | train loss 2.4282 | val loss 2.4213
step    700 | time    94.74s | train loss 2.3313 | val loss 2.3654
step    800 | time   108.08s | train loss 2.2740 | val loss 2.3098
step    900 | time   121.28s | train loss 2.2436 | val loss 2.2598
step   1000 | time   134.19s | train loss 2.1874 | val loss 2.2099
step   1100 | time   147.59s | train loss 2.1844 | val loss 2.1391
step   1200 | time   161.06s | train loss 2.0825 | val loss 2.0919
step   1300 | time   192.13s | train loss 2.0715 | val loss 2.0436
step   1400 | time   206.37s | train loss 2.0109 | val loss 2.0490
step   1500 | time   220.63s | train loss 2.0013 | val loss 2.0213
step   1600 | time   233.29s | train loss 2.0091 | val loss 1.9920
step   1700 | time   245.95s | train loss 1.9488 | val loss 1.9789
step   1800 | time   258.76s | train loss 1.9696 | val loss 1.9802
step   1900 | time   271.67s | train loss 1.9939 | val loss 1.9630
step   2000 | time   284.61s | train loss 1.9662 | val loss 1.9463

max_learning_rate: 0.0009
step      0 | time     1.19s | train loss 9.2471 | val loss 9.2459
step    100 | time    13.70s | train loss 3.9498 | val loss 3.8973
step    200 | time    26.60s | train loss 3.1342 | val loss 3.1685
step    300 | time    39.18s | train loss 2.7793 | val loss 2.7892
step    400 | time    51.67s | train loss 2.6052 | val loss 2.6345
step    500 | time    64.17s | train loss 2.5082 | val loss 2.5069
step    600 | time    76.92s | train loss 2.4290 | val loss 2.3897
step    700 | time    89.40s | train loss 2.3884 | val loss 2.3585
step    800 | time   101.93s | train loss 2.2678 | val loss 2.2789
step    900 | time   114.54s | train loss 2.2028 | val loss 2.1928
step   1000 | time   127.17s | train loss 2.1508 | val loss 2.1628
step   1100 | time   158.43s | train loss 2.0960 | val loss 2.1301
step   1200 | time   172.10s | train loss 2.0331 | val loss 2.0899
step   1300 | time   187.54s | train loss 2.0340 | val loss 2.0618
step   1400 | time   200.06s | train loss 1.9862 | val loss 2.0052
step   1500 | time   212.60s | train loss 1.9642 | val loss 1.9788
step   1600 | time   225.35s | train loss 1.9780 | val loss 1.9558
step   1700 | time   238.29s | train loss 1.9559 | val loss 1.9672
step   1800 | time   251.01s | train loss 1.9569 | val loss 1.9365
step   1900 | time   263.78s | train loss 1.8955 | val loss 1.9437
step   2000 | time   276.55s | train loss 1.9304 | val loss 1.8995

max_learning_rate: 0.001
step      0 | time     1.15s | train loss 9.2529 | val loss 9.2521
step    100 | time    13.63s | train loss 3.8639 | val loss 3.8622
step    200 | time    25.84s | train loss 3.0789 | val loss 3.0905
step    300 | time    38.10s | train loss 2.7993 | val loss 2.7777
step    400 | time    50.35s | train loss 2.6028 | val loss 2.6563
step    500 | time    62.65s | train loss 2.4873 | val loss 2.4782
step    600 | time    74.99s | train loss 2.3934 | val loss 2.3819
step    700 | time    87.34s | train loss 2.3498 | val loss 2.2961
step    800 | time    99.68s | train loss 2.2626 | val loss 2.2394
step    900 | time   112.04s | train loss 2.1373 | val loss 2.1700
step   1000 | time   124.43s | train loss 2.1357 | val loss 2.1684
step   1100 | time   136.84s | train loss 2.1073 | val loss 2.1339
step   1200 | time   149.25s | train loss 2.0348 | val loss 2.0280
step   1300 | time   161.72s | train loss 1.9932 | val loss 2.0000
step   1400 | time   186.32s | train loss 2.0121 | val loss 1.9832
step   1500 | time   201.89s | train loss 1.9603 | val loss 1.9612
step   1600 | time   215.67s | train loss 1.9298 | val loss 1.9491
step   1700 | time   230.00s | train loss 1.9509 | val loss 1.9166
step   1800 | time   242.43s | train loss 1.8675 | val loss 1.9229
step   1900 | time   254.81s | train loss 1.8842 | val loss 1.8985
step   2000 | time   267.31s | train loss 1.8845 | val loss 1.8924

max_learning_rate: 0.0012
step      0 | time     0.88s | train loss 9.2617 | val loss 9.2591
step    100 | time    14.08s | train loss 3.7686 | val loss 3.8213
step    200 | time    26.98s | train loss 3.1204 | val loss 3.0508
step    300 | time    39.92s | train loss 2.7727 | val loss 2.7481
step    400 | time    52.86s | train loss 2.5698 | val loss 2.5588
step    500 | time    65.97s | train loss 2.4811 | val loss 2.5011
step    600 | time    79.07s | train loss 2.3844 | val loss 2.4099
step    700 | time    92.12s | train loss 2.3242 | val loss 2.3017
step    800 | time   105.10s | train loss 2.2198 | val loss 2.2701
step    900 | time   118.12s | train loss 2.1910 | val loss 2.1779
step   1000 | time   148.33s | train loss 2.1196 | val loss 2.1500
step   1100 | time   163.01s | train loss 2.0476 | val loss 2.0393
step   1200 | time   177.96s | train loss 2.0772 | val loss 2.0639
step   1300 | time   190.49s | train loss 2.0478 | val loss 1.9975
step   1400 | time   203.09s | train loss 1.9918 | val loss 2.0149
step   1500 | time   216.22s | train loss 1.9334 | val loss 1.9869
step   1600 | time   229.97s | train loss 1.9636 | val loss 1.8897
step   1700 | time   243.67s | train loss 1.8944 | val loss 1.9244
